Respondent_Serial,NPS2
283927,",mnknk"
192615,[h[[[[[[[[ave not had any problems
280009,12 month policy rather than typical 6 month.
281612,21st century is a good insurance company
210043,"24/7 access via phone and online to policy needs; not having to go through an agent (who may or may not be responsive), excellent prices & discounts, never had issues with claims for past policies."
296398,4 years ago they were the cheapest up until this year. I have no accidents or tickets and my policy has gone up $100 a year for the last three years. Time to change. Switched to Travellers. Went from $1500 to $1100.
197423,4r2r
249028,"A little pricey, but good service and value"
278249,"A positive experience with my last claim, quick turn around, quality service from the recommended repair shop."
286174,"AAA benefits (such as discounts and road side), fair pricing, and have a direct contact for help"
257971,AAA benefits comes with it
252988,AAA has always been very helpful
199428,aaa has been a great company to do business with
207306,AAA has been great and affordable insurance
289735,Aaa has good rates and coverage
197935,AAA has reasonable prices and excellent service.  They also have a wide range of products and services at a discount.
196364,AAA is a good company for road side assistance
231471,AAA is a good insurance company.
238304,AAA is a trusted brand
260019,AAA is easy to deal with and provide good customer service.
278651,AAA is very expensive
213798,AAA saved me and my family over $ 1200 a year on my auto insurance . that s why
200932,"AAA's rates are competitive and the application process is fairly simple, certainly no more difficult than with other insurers. So far I have no reason to complain except that I think the overall prices in the industry keep rising. That being said, I believe it's crucial to have auto insurance, and if you have a mortgage, lenders require it."
215696,AARP
216487,aarp
208925,ab
203642,affordability
198201,affordable
276859,Affordable
277389,Affordable
201208,Affordable and good claims experience.
189916,affordable coverage and good timely claims service
197114,Affordable good service
217537,Affordable premiums and great customer service
188038,affordable rate
283261,affordable rates
196282,"Affordable, considerate, no hassle"
248972,"Affordable, has many discounts"
254634,"Affordable, online, easy to work with"
248780,"after getting many quotes, I know Progressive offers very low rates for New York City."
241745,"After our search for a new insurance company, we determined that Travelers had the best rates."
227992,"After shopping around recently to see if I could get a better price for my home and auto insurance, I found that Travelers is very reasonable and I've always had terrific customer service"
207593,agent
208489,agent
209198,agent
213860,agent
198164,agent and price
268355,agent is available
213117,Agent is knowledgable
215430,Agent is local and friendly.
203361,agent not the best
297421,Agent Service / Value
193819,agent very helpful and informative
219355,agent very understanding and detailed with me about policy
250972,"Agent, cost"
189984,agents knowledgeable; good pricing
205929,"Agents were easy to talk to and took time to explain the policies. Also, they are cheaper for the same coverage."
190859,all
202208,all around they are excellent - but not everyone can use USAA
214040,All is ok till now
189901,All State is attentive to my needs.
231977,"All the coverage I need at a reasonable price, always available local agent"
276651,All the insurance companies are the same.
190851,Allstate gives good customer service.
249384,"Allstate has been extremely helpful in my life. They've helped me with auto and home insurance, and the agents are such wonderful people. I've only had one problem, and that was settled quite easily, so I would be happy to recommend Allstate to anyone at any time."
187638,"Allstate has charged me unmercifully for a speeding ticket.  Yet, they are the only ones willing to discount me for my SENIOR DRIVING CLASS."
204919,already referred freinds
197414,Although they have no local offices nor agents their rates are reasonable.
278309,Always available to help and advise.
209205,always bin there when I needed them
199118,"Always get an honest answer from them. Coverage and cost is what they quote, no surprises.  Although a claim is rare, it was paid quickly without hassle. I TRUST Allstate.  That is very important to me."
216436,always get fast and great service
285146,Always great rates and service.
228797,"always great service, competitive pricing"
207529,always had great service and competitive prices
210332,always have good experience with them
217719,Always have had good service
200209,Amazing coverage and best price
276104,"Amazing prices, excellent customer service."
275741,"Amazing rates, great agent and wonderful claim service"
185849,amazingly low price
195429,American Family and our agent have been very helpful to us.
199646,"American Family as a company has always treated my family and I very well, kept us informed without hassle renewals.  Our agent is a great guy and very helpful."
246866,"American Family has always handled my claims appropriately and professionally, however they are very expensive"
275612,Amica has always been great to work with and they have very competitive rates.
200115,Amica settles claims in a timely way - particularly when you have no fault and someone else is responsible for the claim.
276134,Amica was cheaper.
204773,Antiquated criteria for raising premiums.
187410,"Apart from my children, there are not many requests for recommendations"
228893,"Appear to be a good company,but  they do have numerous rate increases and billing is unflexible if there is a problem"
275214,Appear to have good coverage for a decent price. Good agent.
