Respondent_Serial,NPS2
61,It is a cheaper way to go.
62,
63,they are ok
66,cost
67,
69,reliability
71,Years ago there was a massive virus attack on Comcast which disrupted broadband telephone service and infected thousands of computers. Thanks to Comcast my new computer died and I couldn't get my money back. I will never go through Comcast again.
72,cuz
73,Ir is expensive
74,
75,"I typically don't make such recommendations, AT&T charges too high of rates, and in our rural area, we basically take what we can get."
84,"Reliable, fast"
88,I am very happy with the service and programming selection
89,
92,
94,The bill is too expensive and never the same from moth to month.
102,The cost is exorbitant for the service that is received.
103,Their cable boxes have got to the worse ones I ever used.
108,WORKS WERLL WITH MULTIPLE tv'S
114,
115,
116,"EXPENSE, ISSUES WITH CUSTOMER SERVICE & EQUIPMENT OPERATION
INABILITY TO TALK WITH A LIVE PERSON & HAVING TO GO THROUGH A COMPUTER WIDGET!
HOWEVER, THEIR TECHS ARE WONDERFUL"
120,reasonable service and no other cable options in the area
121,there good
123,"bad service, bad help when problems"
126,horrible customer service and pricing
130,works
134,I have used them for years and I like them
135,
140,
142,good
146,
150,khkjkjk
153,We find that we do have some problems with our cable and internet carrier but they seem to be the best at this time. We are not able to use one of the other ones because of a abundance of Trees surrounding our house!
155,I like the services
157,I have had very good service and have always gotten a response when I have had a problem.
161,Expensive for slow internet and
172,Excellent customer service - no dropped calls -no internet shutdown
173,their remote control is terribly inefficient
176,
178,"I've used AT&T for years as my land line telephone service. Always worked fine, good service."
179,AT&T drop calls often.
181,"Terrible overall customer service.  Problems reported 2 years ago remain unresolved.  Agents are generally professional, but often have unintelligible accents - mostly urban or asian.  It's nice when you get to speak to an agent located in the US that enunciates words properly.  In the last year, to add insult to injury, Charter removed/shifted networks like the Golf Channel to a different tier, a move which is the equivalent of a rate hike."
182,Good service
183,It's been bad for signal when I leave the city
189,ATT is a great service and has wonderful customer service
193,It is nice to bundle all the services together/ The service has been consistent with no outages. Internet is fast.
199,I have had no problems what so ever and the pricing is fair
203,they have good service
206,Good service but also rather expensive
208,It has been reliable.
209,not a very good value for the money
210,"I have been with Windstream for seven years now and I have never had an issue with them or their services.  There was just one recent issue that caused me to give a 9 rating instead of a ten.  Before this recent incident, I would have given them a 10 rating"
211,
217,It's expensive and not always reliable
219,Poor communications - only service available in our area is why we have it
220,I like them
222,AT&T is horrible to deal with!!!
224,They are a good provider
226,is really good
229,very expensive
232,Good but expensive
233,
239,They have the cheapest prices.
240,quality and reliability
241,It is okay but expensive
242,"reliable service, good price"
243,Reliability of service.  Professionalism.
247,Friendly knowledgeable staff at every level I have dealt with. Willing to help even if not their are of responsibility. Fairly quick resolution to the few problems I have had with their service.
250,difficulty in billing
251,Expensive
252,just okay
253,"where we live, it is about all that will work here"
258,good service
259,
262,
266,Good company & quality service.
268,"SERVICE, RELIABILITYAND VALUE,PRICE"
270,goodservice
273,"Verizon is a reasonably-priced service, has had no outages for the 14 months I've had it, and there's NO usage cap, its best feature."
275,Price keeps going up.
277,good price
278,hardware breaksown outside of home
282,"low rates, good service"
283,it is a fair deal
285,"Frontier literally has a monopoly on the county where I live, the phone service is unreliable and the DSL runs close to dial-up speed when it even works, It takes weeks to get a service call and they're expensive to boot."
286,good service but expensive
289,Cox is too expensive!!!!!!
293,competitive price
295,Bright House is expensive
297,
298,"The service is dependable, but it is a bit pricey"
303,loses signal too often
305,
306,
308,never a problem no outages
314,
316,i got usto to them
320,reliable service
322,It is my habit to never recommend.
323,Too expensive!
326,"I have Comcast and very, very satisfied. Would reccommend"
328,not as good as  they used to be
330,they are iffy
332,Internet speed is too slow compared to other providers
333,good customer service
335,good service
337,I like the bundle package.
341,good service
342,pixelation at times
343,too expensive
346,cost
348,
350,
353,The service is horrible and customer service is worse
354,long time association (15 plus years)
362,price
363,
369,pricing is too high
372,The service is very expensive and I dont think its worth the price. it does have a lot to offer per television viewing but often theres even separate charges for that that arent covered with ones initial package.. Also services outages
374,Verizon service is fairly consistent and customer service is good.
376,price
377,Reliable phone and internet.
384,
385,
387,"It is good, but it's expensive and the signal isn't always reliable"
390,
391,Poor service. Internet woes down quite a bit and the telephone service has an interference noise at times.
394,quality of service
395,"The company is adequate.  I wish their rates were cheaper, but their service works."
399,Direct TV too expensive
400,fhzsruysy styjsystysty  gfhsah
403,I just think AT&T is a good company
405,works well
408,
409,good service
413,Nun
415,have had good service with Century Link
419,
420,I like the service and the price
422,is good
423,excellent service but high price
424,not sure
426,
431,fair price good service
433,TO BE COMPLETE
435,
437,
439,Price
441,
442,
443,price service and bundle
445,Verizon strives to make sure their customers are happy with their service
450,the gunt and the taint is what is good and what have you if you will and such
451,"I had to choose company when moved, only because, it's the only one that has INTERNET in my area moved to, it's slowest company"
454,its a family affair
456,hate bundleing
461,Because is pro
462,i like the service
464,They keep raising their prices.
467,it's true!
468,"They are too expensive and the service isn't always that great, e.g. interference on picture quality.  However, until recently they were pretty much the only game in town and I locked in a rate that will expire in January allowing me to switch to FIOS which is relatively new in the area"
470,good service
471,price
475,"shitty customer service, poor rates/high prices, bad internet connection"
480,priced too high
482,It is too expensive to be rated higher
484,
485,
486,"Is a company that I trust, and have used them now for over 30 year"
488,Speed and uptime.
491,"expensive, noisy, uncaring"
494,Promised higher DSL speeds than what were actually provided.
496,i like is amazing company
499,
500,I like the service and the deal i get with the service
507,EASIER TO HAVE ALL WITH ONE COMPANY AND ONE BILL
508,I've used Optimum for years  and it is good
511,IT IS GOOD
512,
516,Too expensive
521,"They have always had great service, though they do price things quite a bit higher than other companies."
525,
529,"i like the service they provide,good customer service"
532,I don't like them but I have no choice at this time; they lied about sales promotion and have yet to provide visa reward card. In the beginning of our contract when we signed up they would send fake visa cards as if a joke but never the real thing; nearly a year now and nothing as promised when I phoned them to signed on; they say 'oh we have a promotion going on right now where you receive this for such price and to date that price has gone up from day one. The service seems good since no trouble with connection but this could change as well. I have received many cranks calls and I feel it is from Comcast since I am not employed and stay at home all day and when the billing is due they want it that day; so the calls are worse as well as my emails. OK so it is paranoia and false accusation but surely I believe all that I have typed. I should hushed since I can be made to regret these comments.
533,they are a monopoly that refuses to post pricing for consumers to make their own choices for services. I want to see prices for services and pick the ones I want!
537,The price is rather high so I wish our cost was lower
543,The service is out often and it's semi-expensive
549,question says direct for tv I have Uverse and would highly (10 ) recommend
551,poor service and high prices
554,Terrible customer service. A lot of problems with service and pricing.
555,I am satisfied with the service we receive
556,haven't had any problems with them
557,Excellent fast and reliable service.
559,
561,
562,happy with services
563,have usually provided good service and I don't like ATT or Comcast.
570,"high,constantly increasing, cost"
571,"For the most part charter is good; however, the price is high. Also, frustrating dealing with them when you have an issue."
581,"Less channels, more expensive"
586,"I have no complaints about my service, only the price."
588,
590,expensive
595,great service
599,Haven't had any major problems in the years of having.
600,THE SERVICE HAS BEEN GREAT!!
602,Very good
603,Comcast reliability and customer service SUCK!
609,costly
611,slow
612,i never recommend anything to anybody.
614,
615,good service
618,
619,They are ok n i think i wouod say good things about my bundle
620,
623,"Very reliable, good choices of channels, a bit overpriced"
625,I've been with them for years and never had any major technical problems.
626,
