Segment,Respondent_Serial,NPS1_1,NPS_Recode,NPS2
ISP,62,7,Passive,
ISP,64,3,Detractor,
ISP,65,10,Promoter,Other options in my community are less desirable.
ISP,66,5,Detractor,cost
ISP,67,5,Detractor,
ISP,69,10,Promoter,reliability
ISP,70,5,Detractor,too expensive
ISP,71,8,Passive,Years ago there was a massive virus attack on Comcast which disrupted broadband telephone service and infected thousands of computers. Thanks to Comcast my new computer died and I couldn't get my money back. I will never go through Comcast again.
ISP,72,8,Passive,cuz
ISP,73,7,Passive,Ir is expensive
ISP,82,4,Detractor,internet keeps dropping. poor customer experience when we had to change out our dvrs.
ISP,83,7,Passive,"I'm not unimpressed with the service, but it isn't anything to write home about, either."
ISP,84,8,Passive,"Reliable, fast"
ISP,85,8,Passive,Like channel selection. Prices increase too often. Discounts are primarily for new customers; little reward for continuing customers.
ISP,88,10,Promoter,I am very happy with the service and programming selection
ISP,89,8,Passive,
ISP,91,3,Detractor,Too expensive and slow service
ISP,92,7,Passive,
ISP,97,9,Promoter,good service
ISP,98,10,Promoter,Price
ISP,99,8,Passive,They're pretty good. Signal goes out sometimes. They have customer services that's pretty good.
ISP,101,7,Passive,Only game in town nothing to compare them tio
ISP,102,8,Passive,The cost is exorbitant for the service that is received.
ISP,103,7,Passive,Their cable boxes have got to the worse ones I ever used.
ISP,108,7,Passive,WORKS WERLL WITH MULTIPLE tv'S
ISP,109,8,Passive,"I am satisfied with the quality of their service, but they keep raising their prices."
ISP,114,9,Promoter,
ISP,115,5,Detractor,
ISP,116,5,Detractor,"EXPENSE, ISSUES WITH CUSTOMER SERVICE & EQUIPMENT OPERATION
INABILITY TO TALK WITH A LIVE PERSON & HAVING TO GO THROUGH A COMPUTER WIDGET!
HOWEVER, THEIR TECHS ARE WONDERFUL"
ISP,120,8,Passive,reasonable service and no other cable options in the area
ISP,121,8,Passive,there good
ISP,123,4,Detractor,"bad service, bad help when problems"
ISP,124,1,Detractor,"I have found DirecTV to be deceitful in their business, rude in their customer support, I'm tired of being held hostage by them because there is no cable provider to this area. AT&T offers only DSL with a <4Mps transfer rate at an extremely high price.  The instant, the VERY instant cable is available where I live I will disconnect from this conjoined example of how NOT to treat customers and never ever recommend them to anyone I call friend."
ISP,126,0,Detractor,horrible customer service and pricing
ISP,130,8,Passive,works
ISP,131,10,Promoter,good customer service
ISP,134,9,Promoter,I have used them for years and I like them
ISP,135,8,Passive,
ISP,137,10,Promoter,we have had great luck with every service we have had with them and hardly ever have an outage
ISP,138,5,Detractor,
ISP,139,0,Detractor,Don't like the service
ISP,140,8,Passive,
ISP,141,5,Detractor,average
ISP,142,10,Promoter,good
ISP,147,5,Detractor,It is very expensive and there aren't many alternatives.
ISP,148,8,Passive,"Decent company, and compared to the other limited options available in town, Cox is the best"
ISP,149,4,Detractor,bad customer service and high prices
ISP,150,10,Promoter,khkjkjk
ISP,153,7,Passive,We find that we do have some problems with our cable and internet carrier but they seem to be the best at this time. We are not able to use one of the other ones because of a abundance of Trees surrounding our house!
ISP,155,10,Promoter,I like the services
ISP,156,1,Detractor,the company is a POS
ISP,157,9,Promoter,I have had very good service and have always gotten a response when I have had a problem.
ISP,161,7,Passive,Expensive for slow internet and
ISP,164,7,Passive,the service is usually dependable
ISP,165,10,Promoter,Im happy with my TV channels and internet
ISP,167,5,Detractor,Because our apt. complex handles the television service
ISP,168,10,Promoter,AT&T is a good server
ISP,169,6,Detractor,because they told me i would pay one rate then a year later my service went up in price they told me it would stay at one rate
ISP,171,8,Passive,The channels provided and the internet speed.  The cost is not that great though
ISP,172,9,Promoter,Excellent customer service - no dropped calls -no internet shutdown
ISP,173,2,Detractor,their remote control is terribly inefficient
ISP,174,7,Passive,fesgr justicia «partido
ISP,176,6,Detractor,
ISP,179,7,Passive,AT&T drop calls often.
ISP,181,6,Detractor,"Terrible overall customer service.  Problems reported 2 years ago remain unresolved.  Agents are generally professional, but often have unintelligible accents - mostly urban or asian.  It's nice when you get to speak to an agent located in the US that enunciates words properly.  In the last year, to add insult to injury, Charter removed/shifted networks like the Golf Channel to a different tier, a move which is the equivalent of a rate hike."
ISP,182,10,Promoter,Good service
ISP,186,9,Promoter,"long standing, positive experience"
ISP,190,9,Promoter,pretty good service for pretty good price
ISP,193,9,Promoter,It is nice to bundle all the services together/ The service has been consistent with no outages. Internet is fast.
ISP,194,7,Passive,"Wireless is slow, some TV channels you can't get."
ISP,195,7,Passive,It's expensive for what it is
ISP,198,8,Passive,Fairly reliable.  Recently reduced my monthly payments for internet and cable TV
ISP,199,10,Promoter,I have had no problems what so ever and the pricing is fair
ISP,203,9,Promoter,they have good service
ISP,206,8,Passive,Good service but also rather expensive
ISP,208,6,Detractor,It has been reliable.
ISP,209,4,Detractor,not a very good value for the money
ISP,210,9,Promoter,"I have been with Windstream for seven years now and I have never had an issue with them or their services.  There was just one recent issue that caused me to give a 9 rating instead of a ten.  Before this recent incident, I would have given them a 10 rating"
ISP,211,5,Detractor,
ISP,212,9,Promoter,
ISP,217,2,Detractor,It's expensive and not always reliable
ISP,218,6,Detractor,udafho sdfhoisdfiosdj fiosjdfiosjdiofj siofj fsoi s
ISP,219,3,Detractor,Poor communications - only service available in our area is why we have it
ISP,220,9,Promoter,I like them
ISP,222,0,Detractor,AT&T is horrible to deal with!!!
ISP,224,9,Promoter,They are a good provider
ISP,226,10,Promoter,is really good
ISP,229,7,Passive,very expensive
ISP,232,8,Passive,Good but expensive
ISP,233,6,Detractor,
ISP,236,10,Promoter,i like it most of the time
ISP,238,9,Promoter,Great service
ISP,239,9,Promoter,They have the cheapest prices.
ISP,240,10,Promoter,quality and reliability
ISP,241,6,Detractor,It is okay but expensive
ISP,242,9,Promoter,"reliable service, good price"
ISP,247,8,Passive,Friendly knowledgeable staff at every level I have dealt with. Willing to help even if not their are of responsibility. Fairly quick resolution to the few problems I have had with their service.
ISP,250,7,Passive,difficulty in billing
ISP,251,7,Passive,Expensive
ISP,252,5,Detractor,just okay
ISP,253,5,Detractor,"where we live, it is about all that will work here"
ISP,254,7,Passive,expensive and not always reliable
ISP,256,0,Detractor,customer service
ISP,258,9,Promoter,good service
ISP,261,7,Passive,i dont know
ISP,262,5,Detractor,
ISP,263,10,Promoter,great service
ISP,266,9,Promoter,Good company & quality service.
ISP,268,10,Promoter,"SERVICE, RELIABILITYAND VALUE,PRICE"
ISP,269,5,Detractor,Only provider in the area.
ISP,270,10,Promoter,goodservice
ISP,273,7,Passive,"Verizon is a reasonably-priced service, has had no outages for the 14 months I've had it, and there's NO usage cap, its best feature."
ISP,275,5,Detractor,Price keeps going up.
ISP,277,7,Passive,good price
ISP,283,8,Passive,it is a fair deal
