"","x"
"technolog",835
"hack",648
"car",565
"vehicl",389
"drive",315
"secur",285
"control",274
"concern",256
"hacker",248
"comput",242
"peopl",236
"system",221
"driver",209
"trust",185
"new",142
"someon",141
"inform",132
"time",131
"distract",121
"safe",119
"human",113
"person",111
"good",110
"caus",104
"problem",103
"the",100
"wrong",96
"enough",95
"accid",94
"too",93
"issu",89
"safeti",89
"worri",86
"tech",82
"alreadi",79
"fail",75
"break",73
"possibl",73
"malfunct",71
"see",71
"access",70
"there",70
"risk",69
"becom",67
"steal",63
"becaus",61
"great",61
"addit",60
"potenti",60
"easi",58
"believ",57
"cost",56
"danger",56
"everyth",54
"test",54
