"","x"
"servic",1892
"price",705
"custom",676
"internet",613
"expens",536
"they",362
"high",348
"poor",340
"good",308
"cost",278
"slow",265
"problem",258
"phone",255
"time",255
"the",243
"area",192
"recommend",189
"rate",184
"provid",183
"bill",168
"keep",166
"compani",165
"bad",152
"speed",150
"year",144
"call",136
"month",135
"terribl",134
"mani",125
"cabl",122
"frontier",121
"verizon",121
"alway",120
"pay",119
"issu",112
"channel",111
"charg",109
"better",106
"increas",106
"choic",104
"their",103
"horribl",102
"chang",101
"never",94
"reliabl",94
"rais",91
"too",91
"great",90
"line",88
"goe",86
"new",84
"everi",83
"offer",81
"not",79
"often",78
"get",77
"realli",75
"noth",72
"even",71
"option",71
"suck",71
"outag",70
"avail",69
"fix",67
"best",66
"connect",66
"day",65
"deal",65
"live",65
"att",64
"comcast",62
"qualiti",62
"landlin",59
"long",58
"sometim",58
"bundl",57
"product",57
"telephon",57
"unreli",57
"give",56
"work",56
"constant",53
"without",52
